NameID,Vertical,Industry,EmployeeQuantityGrowthRate,SalesTurnoverGrowthRate,PriorYearEmployees,PriorYearRevenue,SalesVolume,SmallBusiness

29582,Consulting / Other Professional Services,Professional Services,0,1.725974,195,7753539.63,21135946.66,Y
29832,Systems Integrators,Government,0,0,14,1839822.96,1839822.96,Y
29842,Cloud Service Provider,Data Center & Cloud Services,0,0,2,197123.89,197123.89,Y
29857,VOIP/VSP,Telecommunications,0,-0.236658,150,31276990.39,23875031.72,Y
30010,Finance,Finance,0,0,0,  $-   ,5974595.1,N
30081,Cable & Satellite,CATV/Satellite,0,0,15,  $-   ,1235859.02,Y
30422,,,0,1.949996,375,32722565.57,96531448.85,N
30496,Internet Content & Software,Media & Content,0,0,2,183982.3,183982.3,Y
30567,Legal,Professional Services,0,1.345058,3662,450099546.6,1055509542,N
30592,Real Estate / Construction,Other Enterprise,0,0,0,  $-   ,  $-   ,N
30679,Internet Content & Software,Media & Content,0,0,0,  $-   ,131415.93,Y
30692,Internet Content & Software,Media & Content,0,0,0,  $-   ,  $-   ,N
30717,Cable & Satellite,CATV/Satellite,0,0,7,328539.82,328539.82,Y
30746,Consulting / Other Professional Services,Professional Services,0.003176,0,17000,  $-   ,4294340070,N
30786,National Carrier/ISP,Telecommunications,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
30842,Media,Media & Content,0,0,2,123530.97,123530.97,Y
30934,Media,Media & Content,0.166667,0.488619,12,1130176.96,1682402.45,Y
31243,RLEC,Telecommunications,0,0,12,2978218.68,2978218.68,Y
31431,Internet Content & Software,Media & Content,0,0,22,16426990.75,16426990.75,Y
31463,Federal Government,Government,0,0,9500,  $-   ,  $-   ,N
31487,Consulting / Other Professional Services,Professional Services,0,0,40,15769911.12,15769911.12,Y
31770,K-12 Education,Research & Education,0,0,0,  $-   ,599607.5,N
31916,Regional Carrier/ISP,Telecommunications,0,0.017857,1,73592.92,74907.08,Y
31995,Telecommunications Equipment Provider,Other Enterprise,0,0.422066,10,1287876.07,1831445.2,Y
32223,Finance,Finance,0,0.387768,70,10644690.01,14772363.05,Y
32434,Finance,Finance,0,0,25,591371.67,591371.67,Y
32471,Retail,Other Enterprise,0,-0.594933,2500,177017252.3,71703922.38,N
32627,Colo/Hosting,Data Center & Cloud Services,23,117.499977,1,170840.7,20244619.46,Y
32729,Finance,Finance,0,0,30,1839822.96,1839822.96,Y
32924,Federal Government,Government,0,0,0,  $-   ,  $-   ,N
33180,Manufacturing,Energy & Manufacturing,0,1.710904,2700,428284502.8,1161038343,N
33198,Cloud Service Provider,Data Center & Cloud Services,0,0.011236,1,116960.17,118274.33,Y
33226,Engineering,Professional Services,0,0,13,1708407.04,1708407.04,Y
33432,RLEC,Telecommunications,0,-0.047619,3,275973.44,275973.44,Y
33728,Internet Content & Software,Media & Content,0,1.887689,100,18135397.79,52369383.18,N
34173,Consulting / Other Professional Services,Professional Services,0.333333,4,30,2891150.37,14455751.86,Y
34269,Internet Content & Software,Media & Content,0,0.546378,47,6439380.37,9957713.25,N
34427,Consulting / Other Professional Services,Professional Services,0,0,0,  $-   ,  $-   ,N
34444,Consulting / Other Professional Services,Professional Services,0,0,3,236548.67,236548.67,Y
34512,State/Local Government,Government,0,0,2500,  $-   ,  $-   ,N
34574,PTT,Telecommunications,1.1,4.691529,10,985619.45,5609681.98,N
35258,Regional Carrier/ISP,Telecommunications,0,10.125187,350,23260618.9,258778741.7,Y
35355,,,0,1.193305,30,4336725.56,9511759.88,Y
35412,Federal Government,Government,0,1.575201,40,2365486.67,6091603.9,N
35577,Colo/Hosting,Data Center & Cloud Services,0,0,0,  $-   ,131415.93,Y
35583,Internet Content & Software,Media & Content,0,0.594764,56,5782300.74,9221404.28,Y
35616,Colo/Hosting,Data Center & Cloud Services,0,0.088235,1,44681.41,48623.89,Y
35831,Consulting / Other Professional Services,Professional Services,0,0,3,394247.78,394247.78,Y
35957,Transportation,Other Enterprise,0,0.035088,20,749070.78,775353.96,Y
35972,Finance,Finance,0,2.007164,9,1445575.19,4347081.13,Y
35982,Manufacturing,Energy & Manufacturing,0,0.0125,14,1051327.41,1064469,Y
35991,Regional Carrier/ISP,Telecommunications,0,0,0,  $-   ,149718.22,N
36038,Consulting / Other Professional Services,Professional Services,0,2.228728,524,42841591.88,138323850.2,N
36274,Regional Carrier/ISP,Telecommunications,0,0,15,3219690.19,3219690.19,Y
36712,Colo/Hosting,Data Center & Cloud Services,0,0.394448,23,3942477.78,5497580.26,Y
36850,Cloud Service Provider,Data Center & Cloud Services,0,1.313566,86,15112831.49,34964535.73,Y
36978,Retail,Other Enterprise,0,-0.288528,140,38279389.44,27234723.24,N
37092,State/Local Government,Government,0,0,3,223407.07,223407.07,Y
37269,Finance,Finance,0,-0.05048,837,226152352.9,214736251.4,N
37324,Manufacturing,Energy & Manufacturing,0,1.829425,60,6307964.45,17847912.31,Y
37348,Internet Content & Software,Media & Content,0,0,0,  $-   ,  $-   ,N
37399,Cloud Service Provider,Data Center & Cloud Services,1.4,1.109042,25,4205309.63,8869175.43,Y
37833,Healthcare,Healthcare,0,0.29137,2000,173074774.5,223503596.6,N
37960,Internet Content & Software,Media & Content,0,0,0,  $-   ,  $-   ,N
37981,Real Estate / Construction,Other Enterprise,0,0.862342,21,2365486.67,4405344.38,Y
38096,Cloud Service Provider,Data Center & Cloud Services,0,0.421053,4,249690.26,354823,Y
38359,Consulting / Other Professional Services,Professional Services,0,0,1,144557.52,144557.52,Y
38428,Finance,Finance,-1,-1,3,157699.11,  $-   ,N
38447,Finance,Finance,0,0.029412,4,446814.15,459955.74,Y
38626,Media,Media & Content,0,0,0,  $-   ,17459942.27,Y
38705,Consulting / Other Professional Services,Professional Services,0,0,2,210265.48,210265.48,Y
38718,Colo/Hosting,Data Center & Cloud Services,0,0,2,144557.52,144557.52,Y
38899,Healthcare,Healthcare,0,0.022727,18,1156460.15,1182743.33,Y
39284,Higher Education,Research & Education,0,1.265267,53,3416814.08,7739995.91,Y
39448,Non-Healthcare Insurance,Other Enterprise,0,0,240,328539815,328539815,N
39450,Retail,Other Enterprise,0,-0.010286,1135,335636275,332183881.4,N
39534,Consulting / Other Professional Services,Professional Services,0,-0.090909,1,144557.52,131415.93,Y
39569,Legal,Professional Services,0,0.381319,90,11827433.34,16337463.65,Y
39837,Internet Content & Software,Media & Content,0,0,0,  $-   ,122325.89,N
39956,Cloud Service Provider,Data Center & Cloud Services,0,0,0,  $-   ,105621.61,N
40039,Consulting / Other Professional Services,Professional Services,0.070833,0.080521,2400,736000150.2,795263476.2,N
40224,Retail,Other Enterprise,-0.212851,-0.137891,249000,47556795301,40999140593,N
40240,Internet Content & Software,Media & Content,0,0,15,788495.56,788495.56,Y
40294,Healthcare,Healthcare,0,0,0,  $-   ,5640965.54,Y
40488,Healthcare,Healthcare,0,0.514867,3700,410674768.8,622117518.9,N
40505,Media,Media & Content,0,3.270054,4300,601884941.1,2570080939,N
40673,Regional Carrier/ISP,Telecommunications,0,3.108496,15,2102654.82,8638749.43,Y
40699,VOIP/VSP,Telecommunications,0,0,0,  $-   ,  $-   ,N
40783,,,0,0,2,144557.52,144557.52,Y
40980,Consulting / Other Professional Services,Professional Services,-0.088312,-0.027994,15400,2226576092,2164245518,N
40985,Internet Content & Software,Media & Content,0,0.012658,1,103818.58,105132.74,Y
41223,Retail,Other Enterprise,0,0,0,  $-   ,  $-   ,N
41690,Healthcare,Healthcare,0,5.097284,25,1971238.89,12019203.34,N
41795,Manufacturing,Energy & Manufacturing,-0.04918,0.006061,18300,7480851588,7526190082,N
41991,Consulting / Other Professional Services,Professional Services,0,0,3,249690.26,249690.26,Y
42010,Reseller,Telecommunications,0,0,0,  $-   ,943846.26,N
42094,RLEC,Telecommunications,0,1.97408,70,13010176.67,38693306.24,Y
42130,Finance,Finance,0,0.022727,6,578230.07,591371.67,Y
42157,National Carrier/ISP,Telecommunications,0,0,51,20238052.6,20238052.6,Y
42274,State/Local Government,Government,-0.995058,0,11735,  $-   ,  $-   ,N
42296,Internet Content & Software,Media & Content,0,0,6,101190.26,101190.26,Y
42510,Engineering,Professional Services,0.15625,0.14803,64,21307076.48,24461155.95,Y
42744,Colo/Hosting,Data Center & Cloud Services,0,0,2,197123.89,197123.89,Y
42978,Transportation,Other Enterprise,0,0,0,  $-   ,  $-   ,N
43118,RLEC,Telecommunications,0,0.063134,200,78780380.88,83754086.01,Y
43124,Higher Education,Research & Education,0,0,2600,  $-   ,272720298.6,N
43155,Internet Content & Software,Media & Content,0,0.113636,6,578230.07,643938.04,Y
43158,Cloud Service Provider,Data Center & Cloud Services,0,0.047497,100,15375663.34,16105957.41,N
43271,Internet Content & Software,Media & Content,0.09375,0.104856,1920,646980316.1,714819845.4,N
43380,Commercial Systems Integrator,Professional Services,0,0,6,949851.97,949851.97,Y
43576,Retail,Other Enterprise,0,2.541328,600,20238052.6,71669582.09,N
43626,Consulting / Other Professional Services,Professional Services,0,0.880537,40,7359291.86,13839417.74,Y
43888,Consulting / Other Professional Services,Professional Services,0,1.917005,200,32065485.94,93535182.83,Y
44017,Higher Education,Research & Education,0,0,2500,  $-   ,449281365.5,N
44097,Telecommunications Equipment Provider,Other Enterprise,-0.162455,-0.175815,277,134140178.2,110556276.1,Y
44344,Regional Carrier/ISP,Telecommunications,0,0.011364,12,1156460.15,1169601.74,Y
44952,Higher Education,Research & Education,0,1.307087,100,16821238.53,38808053.37,Y
45199,Regional Carrier/ISP,Telecommunications,0,1.286207,20,3416814.08,7811542.68,Y
45246,Reseller,Telecommunications,0,0,28,6570796.3,6570796.3,N
45308,Higher Education,Research & Education,0,0,0,  $-   ,  $-   ,N
45346,Commercial Systems Integrator,Professional Services,0,0.021277,4,617654.85,630796.44,Y
45348,Wireless,Telecommunications,0,1.330404,10,1248451.3,2909396.16,N
45474,Regional Carrier/ISP,Telecommunications,0,0.999391,18,2365486.67,4729531.7,Y
45485,Internet Content & Software,Media & Content,0,0.303571,6,735929.19,959336.26,Y
45642,Non-Healthcare Insurance,Other Enterprise,0,0.025,5,525663.7,538805.3,Y
45648,State/Local Government,Government,0,0,75,  $-   ,  $-   ,N
45977,Internet Content & Software,Media & Content,0,0,2,170840.7,170840.7,Y
46052,Colo/Hosting,Data Center & Cloud Services,0,0.1,2,131415.93,144557.52,Y
46348,RLEC,Telecommunications,0,2.436127,53,8673451.12,29803076.67,Y
46421,Regional Carrier/ISP,Telecommunications,0,0,3,315398.22,315398.22,Y
46530,Healthcare,Healthcare,0,-0.708929,1700,148368580.5,43185746.53,N
46652,Internet Content & Software,Media & Content,0,0.943692,4,486238.93,945098.66,Y
46884,Legal,Professional Services,0,0.315939,41,5782300.74,7609155.58,Y
47118,Consulting / Other Professional Services,Professional Services,0,0,0,  $-   ,  $-   ,0
47153,Consulting / Other Professional Services,Professional Services,0,0.567091,200,29174335.57,45718838.44,Y
47192,Non-Healthcare Insurance,Other Enterprise,0,0.924582,42,6045132.6,11634354.43,Y
47246,Consulting / Other Professional Services,Professional Services,0,0,32,  $-   ,1549137.51,N
47277,Regional Carrier/ISP,Telecommunications,0,-0.058824,3,223407.07,210265.48,Y
47299,Internet Content & Software,Media & Content,0,0,130,  $-   ,  $-   ,0
47476,Consulting / Other Professional Services,Professional Services,0,0,3,262831.85,262831.85,Y
47571,Cloud Service Provider,Data Center & Cloud Services,0,0,0,  $-   ,  $-   ,N
47768,Regional Carrier/ISP,Telecommunications,0,0,20,3153982.22,3153982.22,Y
47824,Finance,Finance,0,0.652381,44,9199114.82,15200441.23,Y
47956,Retail,Other Enterprise,0,0.526701,40,6702212.23,10232276.6,Y
48041,Colo/Hosting,Data Center & Cloud Services,0,1.728324,67,12090265.19,32986158.32,Y
48127,Regional Carrier/ISP,Telecommunications,0,0,2,170840.7,170840.7,Y
48130,Colo/Hosting,Data Center & Cloud Services,-0.153846,-0.123624,13,2079546.64,1327300.85,0
48158,Reseller,Telecommunications,0,0,5,420530.96,420530.96,Y
48253,Colo/Hosting,Data Center & Cloud Services,0,0.791126,15,2365486.67,4236883.62,Y
48593,Internet Content & Software,Media & Content,0,0,26,454927.77,18270208.19,0
48603,Healthcare,Healthcare,0,0.346147,30,5256637.04,7076206.18,Y
49227,Internet Content & Software,Media & Content,0,0,0,  $-   ,  $-   ,N
49415,Real Estate / Construction,Other Enterprise,0,0.044444,1,118274.33,123530.97,Y
49418,Regional Carrier/ISP,Telecommunications,0,0.0125,8,1051327.41,1064469,Y
49461,Manufacturing,Energy & Manufacturing,0,0.746561,26,3057411.23,5339956.05,N
49529,Media,Media & Content,0,0.780208,33,3942477.78,7018429.17,Y
49612,Utilities,Energy & Manufacturing,0,0,1,57823.01,57823.01,Y
49789,Finance,Finance,0,0.860111,50,7096460,13200201.47,N
49893,Internet Content & Software,Media & Content,0,0,2,164269.91,164269.91,Y
50558,Colo/Hosting,Data Center & Cloud Services,0.166667,0,6,  $-   ,  $-   ,0
50714,Manufacturing,Energy & Manufacturing,0,0.674219,416,44155751.14,73926402.24,N
50883,Manufacturing,Energy & Manufacturing,0,0,11,2365486.67,2365486.67,Y
50887,Internet Content & Software,Media & Content,0.307692,0.022537,1300,317504819.7,324660416.9,N
51030,Engineering,Professional Services,0,0,21,11065528.48,11065528.48,N
51104,Commercial Systems Integrator,Professional Services,0,0,0,  $-   ,106324.68,N
51325,State/Local Government,Government,0,0,35,5048829.04,5048829.04,Y
51386,Consulting / Other Professional Services,Professional Services,0,-0.04,4,328539.82,315398.22,Y
51451,Regional Carrier/ISP,Telecommunications,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51654,Media,Media & Content,0,0.196329,55,9987610.38,11948464.78,Y
51721,Internet Content & Software,Media & Content,0,0.256709,230,30225662.98,37984869.27,N
51810,Real Estate / Construction,Other Enterprise,0,0,0,  $-   ,1832288.89,Y
51851,Healthcare,Healthcare,25.333333,0,3,115677206.5,115677206.5,N
51987,Higher Education,Research & Education,0,0,3000,  $-   ,123255015.4,N
52017,Regional Carrier/ISP,Telecommunications,0,1.686531,30,4993805.19,13416010.08,Y
52082,Internet Content & Software,Media & Content,0,0.071429,3,183982.3,197123.89,Y
52122,Internet Content & Software,Media & Content,0,0,2,144557.52,144557.52,Y
52454,Finance,Finance,0,0,2,144557.52,144557.52,Y
52657,Consulting / Other Professional Services,Professional Services,0,0.015873,1,82792.03,84106.19,Y
53104,Colo/Hosting,Data Center & Cloud Services,0,0.125,3,210265.48,236548.67,Y
53152,Media,Media & Content,0,-0.609094,100,17478318.16,6832383.64,N
53231,Media,Media & Content,0,0,0,  $-   ,134580.42,N
53372,Consulting / Other Professional Services,Professional Services,0,0.723747,40,5913716.67,10193753.34,Y
53524,Manufacturing,Energy & Manufacturing,0.003774,0.019043,53000,75012210561,76440701676,N
